id,churn_probability
70180,0.0045
70181,0.003
70182,0.0075
70183,1.1145
70184,1.335
70185,0.009
70186,0.003
70187,0.0075
70188,0.006
70189,0.003
70190,0.0045
70191,0.0165
70192,0.009
70193,0.009
70194,0.0135
70195,0.0315
70196,0.006
70197,0.072
70198,0.009
70199,0.003
70200,0.0795
70201,0.012
70202,1.3665
70203,1.329
70204,0.009
70205,0.0075
70206,0.003
70207,0.0135
70208,0.048
70209,0.003
70210,0.165
70211,0.0075
70212,0.0075
70213,0.0045
70214,0.003
70215,0.009
70216,0.0075
70217,0.054
70218,0.0105
70219,0.0495
70220,0.0435
70221,0.0045
70222,0.006
70223,0.0075
70224,0.006
70225,0.0915
70226,0.009
70227,0.0135
70228,0.009
70229,0.0045
70230,0.0045
70231,0.0015
70232,0.018
70233,0.0045
70234,0.003
70235,0.003
70236,0.0135
70237,0.018
70238,0.003
70239,0.0135
70240,0.003
70241,0.003
70242,0.006
70243,0.009
70244,0.009
70245,0.006
70246,0.048
70247,0.006
70248,0.0045
70249,0.03
70250,0.0045
70251,0.093
70252,0.006
70253,0.012
70254,0.006
70255,0.0015
70256,0.009
70257,0.009
70258,0.0105
70259,0.006
70260,0.0045
70261,0.006
70262,0.0045
70263,0.009
70264,0.009
70265,0.006
70266,1.188
70267,0.0585
70268,0.0105
70269,0.0135
70270,1.2285
70271,0.0135
70272,0.009
70273,0.006
70274,0.006
70275,0.0045
70276,0.3735
70277,0.0045
70278,0.0135
70279,0.006
70280,0.003
70281,0.066
70282,0.012
70283,1.3155
70284,1.26
70285,0.0045
70286,0.0105
70287,0.0075
70288,0.0255
70289,0.0735
70290,0.0045
70291,0.0075
70292,0.099
70293,0.0045
70294,0.0
70295,0.006
70296,0.006
70297,0.009
70298,0.0405
70299,0.006
70300,1.2735
70301,0.006
70302,0.027
70303,0.006
70304,0.006
70305,0.018
70306,0.084
70307,0.0075
70308,0.039
70309,0.0795
70310,0.0195
70311,0.081
70312,0.0045
70313,0.009
70314,0.003
70315,0.0075
70316,0.045
70317,0.003
70318,0.0075
70319,0.0075
70320,0.012
70321,0.0015
70322,0.006
70323,0.006
70324,0.006
70325,0.006
70326,0.0045
70327,0.045
70328,1.1385
70329,0.003
70330,0.0045
70331,0.003
70332,0.0195
70333,0.009
70334,0.006
70335,0.0075
70336,0.0525
70337,0.0045
70338,1.338
70339,1.221
70340,0.003
70341,0.003
70342,0.003
70343,0.0015
70344,1.314
70345,0.0045
70346,0.0015
70347,0.003
70348,0.033
70349,0.006
70350,1.3785
70351,0.0075
70352,0.0015
70353,0.0105
70354,0.0075
70355,0.0045
70356,0.006
70357,0.006
70358,0.0045
70359,1.1205
70360,0.006
70361,0.1785
70362,0.0375
70363,0.0075
70364,0.0075
70365,0.0615
70366,0.003
70367,0.0045
70368,0.0045
70369,0.0135
70370,0.0135
70371,0.2205
70372,0.0075
70373,0.0015
70374,0.003
70375,0.003
70376,0.006
70377,0.0075
70378,0.0075
70379,0.0045
70380,0.015
70381,0.009
70382,0.018
70383,1.305
70384,0.0195
70385,0.015
70386,0.003
70387,0.0045
70388,0.0075
70389,0.0045
70390,0.0255
70391,0.081
70392,0.006
70393,0.0225
70394,0.0045
70395,0.009
70396,0.003
70397,0.0195
70398,0.006
70399,0.003
70400,0.009
70401,0.0045
70402,0.0075
70403,0.006
70404,0.009
70405,0.1065
70406,0.0045
70407,0.0135
70408,0.0045
70409,0.015
70410,0.0015
70411,0.0345
70412,0.0105
70413,0.012
70414,0.009
70415,0.009
70416,0.006
70417,0.006
70418,1.164
70419,0.003
70420,0.0105
70421,0.0465
70422,1.0035
70423,0.0045
70424,0.0045
70425,0.0135
70426,0.003
70427,0.006
70428,0.003
70429,0.009
70430,0.0045
70431,0.051
70432,0.075
70433,0.003
70434,0.0075
70435,0.003
70436,0.0315
70437,1.203
70438,0.0015
70439,0.003
70440,0.0735
70441,0.0045
70442,0.006
70443,0.0435
70444,0.039
70445,0.0045
70446,0.0015
70447,1.2855
70448,0.003
70449,0.018
70450,0.0075
70451,0.0075
70452,0.006
70453,0.1815
70454,0.0375
70455,0.0045
70456,0.0075
70457,0.006
70458,0.003
70459,1.167
70460,0.0105
70461,0.006
70462,1.299
70463,1.278
70464,0.009
70465,0.0315
70466,0.003
70467,0.006
70468,0.0705
70469,0.033
70470,0.003
70471,0.006
70472,0.0045
70473,0.006
70474,0.0045
70475,0.051
70476,0.0015
70477,0.012
70478,0.0855
70479,0.009
70480,0.006
70481,0.0075
70482,0.0045
70483,0.006
70484,0.012
70485,0.006
70486,0.009
70487,0.0105
70488,0.009
70489,0.006
70490,0.12
70491,0.0
70492,0.0105
70493,0.018
70494,0.003
70495,0.003
70496,0.0045
70497,1.008
70498,0.0435
70499,1.3335
70500,0.381
70501,0.009
70502,0.012
70503,0.009
70504,0.0045
70505,0.0225
70506,0.0045
70507,0.0075
70508,0.006
70509,0.009
70510,0.003
70511,0.0045
70512,0.0135
70513,0.0045
70514,0.0045
70515,0.009
70516,0.003
70517,0.0105
70518,0.0045
70519,0.003
70520,0.012
70521,0.009
70522,0.0075
70523,0.0105
70524,0.0105
70525,0.012
70526,0.0075
70527,0.012
70528,0.006
70529,0.0015
70530,0.0045
70531,1.266
70532,0.0015
70533,0.0105
70534,0.0165
70535,0.024
70536,0.0075
70537,0.0135
70538,1.188
70539,0.006
70540,0.006
70541,0.021
70542,0.024
70543,0.015
70544,0.003
70545,0.0045
70546,0.0045
70547,1.191
70548,0.003
70549,0.0135
70550,0.0015
70551,0.0075
70552,0.0075
70553,0.0825
70554,0.0045
70555,0.0045
70556,0.078
70557,0.0045
70558,0.0195
70559,0.003
70560,0.0045
70561,0.0045
70562,0.003
70563,0.039
70564,0.0075
70565,0.006
70566,0.0045
70567,0.045
70568,0.003
70569,0.0315
70570,0.009
70571,0.0135
70572,0.0075
70573,0.0045
70574,0.003
70575,0.0165
70576,0.003
70577,0.0045
70578,0.069
70579,0.0195
70580,0.009
70581,0.012
70582,0.0225
70583,1.206
70584,0.0045
70585,0.0405
70586,0.0045
70587,1.224
70588,0.0075
70589,0.006
70590,0.006
70591,0.0075
70592,0.0465
70593,0.0105
70594,0.006
70595,0.069
70596,0.0165
70597,0.003
70598,0.006
70599,0.0075
70600,0.003
70601,0.0225
70602,0.009
70603,0.0045
70604,0.009
70605,0.009
70606,0.021
70607,1.332
70608,0.0405
70609,0.0075
70610,1.257
70611,1.1535
70612,0.0015
70613,0.0045
70614,0.0075
70615,0.003
70616,0.0315
70617,0.003
70618,0.003
70619,0.006
70620,0.0045
70621,1.1355
70622,0.009
70623,0.003
70624,0.009
70625,0.0045
70626,1.362
70627,1.347
70628,0.0045
70629,0.0045
70630,0.0105
70631,0.0045
70632,0.0075
70633,0.003
70634,0.009
70635,0.006
70636,0.003
70637,0.0105
70638,0.006
70639,0.006
70640,1.161
70641,0.039
70642,1.329
70643,0.0285
70644,0.006
70645,0.003
70646,0.0015
70647,0.0075
70648,0.0075
70649,0.009
70650,0.0165
70651,0.012
70652,0.003
70653,0.003
70654,0.0285
70655,0.0045
70656,0.006
70657,0.006
70658,0.006
70659,0.0645
70660,0.027
70661,0.0105
70662,0.006
70663,0.006
70664,0.012
70665,0.003
70666,0.0045
70667,0.015
70668,0.027
70669,1.3665
70670,0.006
70671,0.015
70672,1.119
70673,0.006
70674,0.0045
70675,0.006
70676,1.2705
70677,0.0045
70678,0.006
70679,0.024
70680,0.0105
70681,0.0075
70682,0.0435
70683,0.0795
70684,0.0825
70685,1.14
70686,0.0105
70687,0.0135
70688,0.0045
70689,0.009
70690,0.0105
70691,0.234
70692,1.3395
70693,1.005
70694,0.006
70695,0.0105
70696,0.0135
70697,0.015
70698,0.066
70699,0.015
70700,0.0135
70701,0.0045
70702,0.3615
70703,0.0105
70704,0.006
70705,0.0075
70706,0.0075
70707,0.003
70708,0.0015
70709,1.3665
70710,0.3285
70711,0.0015
70712,0.0015
70713,0.0045
70714,0.009
70715,0.0555
70716,0.0045
70717,0.003
70718,0.009
70719,0.003
70720,0.006
70721,0.045
70722,0.009
70723,0.021
70724,0.015
70725,0.018
70726,0.0015
70727,0.0015
70728,0.006
70729,0.006
70730,0.0105
70731,0.0135
70732,0.0045
70733,0.0045
70734,0.0105
70735,1.3725
70736,0.006
70737,0.0045
70738,0.039
70739,0.0075
70740,0.0405
70741,0.057
70742,0.1005
70743,0.1425
70744,0.0315
70745,0.003
70746,0.0075
70747,0.003
70748,0.0075
70749,1.179
70750,0.0075
70751,0.0045
70752,0.0045
70753,0.006
70754,0.0435
70755,0.0315
70756,0.012
70757,0.006
70758,0.03
70759,0.0045
70760,1.2255
70761,0.0015
70762,0.0045
70763,0.0075
70764,0.0135
70765,0.012
70766,0.0045
70767,0.0045
70768,1.254
70769,0.0045
70770,0.009
70771,0.0105
70772,0.006
70773,0.0045
70774,0.0045
70775,0.006
70776,0.0015
70777,0.0105
70778,0.009
70779,0.006
70780,0.003
70781,0.3345
70782,0.003
70783,0.027
70784,0.0015
70785,0.006
70786,0.0045
70787,0.015
70788,0.015
70789,0.0075
70790,0.0225
70791,0.0045
70792,0.0075
70793,0.006
70794,0.006
70795,0.003
70796,0.009
70797,0.03
70798,1.2045
70799,0.003
70800,0.0045
70801,0.0075
70802,0.015
70803,0.012
70804,0.027
70805,0.006
70806,0.009
70807,0.0045
70808,0.0045
70809,0.003
70810,0.009
70811,0.0075
70812,1.2495
70813,1.206
70814,0.012
70815,0.0225
70816,0.0165
70817,0.009
70818,0.036
70819,0.0075
70820,0.045
70821,0.006
70822,0.066
70823,0.006
70824,0.1365
70825,1.3575
70826,0.0045
70827,0.0045
70828,0.024
70829,0.0045
70830,0.006
70831,0.006
70832,0.0105
70833,0.0015
70834,0.012
70835,0.0045
70836,0.0465
70837,0.003
70838,0.0165
70839,1.281
70840,0.0315
70841,0.006
70842,0.006
70843,0.0045
70844,0.051
70845,0.006
70846,1.383
70847,0.0645
70848,0.009
70849,0.0135
70850,0.006
70851,0.0015
70852,0.03
70853,0.009
70854,1.2585
70855,0.0075
70856,0.006
70857,0.9885
70858,0.0075
70859,0.009
70860,1.1865
70861,0.018
70862,1.203
70863,0.0255
70864,0.021
70865,0.0705
70866,1.1865
70867,0.033
70868,0.003
70869,1.2015
70870,0.0495
70871,0.0045
70872,0.0045
70873,0.0075
70874,0.006
70875,0.027
70876,0.0075
70877,0.0015
70878,0.003
70879,0.006
70880,0.003
70881,0.0015
70882,0.006
70883,0.0045
70884,0.0045
70885,0.033
70886,1.089
70887,0.003
70888,0.009
70889,0.0045
70890,0.009
70891,0.003
70892,0.0075
70893,0.0045
70894,0.003
70895,0.0105
70896,0.0075
70897,0.0375
70898,0.0045
70899,0.0075
70900,0.003
70901,0.009
70902,0.006
70903,0.0075
70904,0.009
70905,0.009
70906,0.0075
70907,0.0885
70908,0.006
70909,0.006
70910,0.042
70911,0.042
70912,0.0045
70913,0.0075
70914,0.2445
70915,0.003
70916,0.003
70917,0.0045
70918,0.0015
70919,0.003
70920,0.0075
70921,0.009
70922,0.006
70923,0.006
70924,1.245
70925,0.015
70926,0.033
70927,0.0045
70928,0.009
70929,0.0045
70930,0.003
70931,0.006
70932,0.0165
70933,0.0045
70934,0.0165
70935,0.0345
70936,0.003
70937,0.006
70938,0.003
70939,0.0105
70940,0.0045
70941,0.0045
70942,0.006
70943,1.3665
70944,0.0045
70945,0.0045
70946,0.1095
70947,1.2075
70948,0.006
70949,0.003
70950,0.0075
70951,0.0045
70952,0.003
70953,0.003
70954,0.0045
70955,0.0045
70956,0.015
70957,0.006
70958,0.0015
70959,1.317
70960,0.0075
70961,0.006
70962,1.2285
70963,0.012
70964,0.006
70965,0.0075
70966,0.0105
70967,0.003
70968,0.036
70969,0.006
70970,0.003
70971,0.1935
70972,0.0135
70973,1.1685
70974,0.048
70975,1.2315
70976,1.3455
70977,1.269
70978,0.3105
70979,0.0555
70980,0.0045
70981,1.3395
70982,0.0105
70983,0.003
70984,0.0075
70985,0.0045
70986,0.03
70987,0.009
70988,0.003
70989,0.0135
70990,0.003
70991,0.003
70992,1.2585
70993,0.0285
70994,0.0045
70995,0.042
70996,0.003
70997,0.0375
70998,0.0045
70999,0.0015
71000,0.0165
71001,0.0045
71002,0.0015
71003,1.122
71004,0.003
71005,0.0045
71006,0.0075
71007,0.0045
71008,0.0195
71009,0.0075
71010,0.009
71011,0.0135
71012,0.006
71013,0.0165
71014,0.006
71015,0.003
71016,0.0195
71017,0.0
71018,0.003
71019,0.0015
71020,0.0075
71021,1.1925
71022,0.0075
71023,0.003
71024,0.009
71025,0.0435
71026,0.009
71027,0.009
71028,0.009
71029,0.0045
71030,0.0075
71031,0.006
71032,0.471
71033,0.006
71034,0.0045
71035,0.0165
71036,0.0015
71037,0.0075
71038,0.003
71039,1.3425
71040,1.14
71041,0.009
71042,1.131
71043,0.003
71044,0.009
71045,0.0075
71046,0.0105
71047,0.0255
71048,1.203
71049,0.03
71050,0.0015
71051,0.0105
71052,0.0075
71053,1.194
71054,0.0045
71055,0.003
71056,0.075
71057,0.0045
71058,0.0075
71059,0.0075
71060,1.122
71061,0.0075
71062,0.003
71063,0.018
71064,0.006
71065,0.006
71066,0.0315
71067,0.003
71068,0.009
71069,0.0045
71070,0.006
71071,0.003
71072,0.0075
71073,0.0045
71074,0.0045
71075,0.003
71076,0.0075
71077,0.1335
71078,0.0195
71079,0.0045
71080,0.0285
71081,1.143
71082,1.161
71083,0.0045
71084,0.003
71085,0.003
71086,0.0045
71087,0.081
71088,0.009
71089,0.0045
71090,0.012
71091,0.006
71092,0.0045
71093,1.2825
71094,0.033
71095,0.981
71096,0.0465
71097,0.0075
71098,0.015
71099,0.0045
71100,0.042
71101,0.003
71102,0.0045
71103,0.0015
71104,0.0075
71105,0.0135
71106,0.003
71107,0.003
71108,0.009
71109,0.018
71110,0.0045
71111,0.0045
71112,0.051
71113,0.003
71114,0.0285
71115,0.0165
71116,0.0045
71117,0.0015
71118,0.012
71119,0.003
71120,0.003
71121,0.006
71122,0.006
71123,0.0615
71124,0.0075
71125,0.012
71126,1.3335
71127,0.006
71128,0.006
71129,0.006
71130,0.0045
71131,0.0075
71132,0.0105
71133,0.009
71134,0.048
71135,0.0105
71136,0.003
71137,0.009
71138,0.1755
71139,0.0165
71140,0.015
71141,0.0075
71142,0.012
71143,0.0135
71144,0.0195
71145,0.0075
71146,0.0015
71147,0.015
71148,1.392
71149,0.0045
71150,0.0015
71151,0.009
71152,0.0045
71153,0.009
71154,0.0075
71155,0.009
71156,0.0315
71157,0.009
71158,0.0075
71159,0.0075
71160,0.039
71161,0.0495
71162,0.0465
71163,0.006
71164,0.0375
71165,0.0405
71166,0.006
71167,0.009
71168,0.0675
71169,0.003
71170,1.203
71171,0.0045
71172,0.009
71173,0.012
71174,0.015
71175,0.0075
71176,0.0375
71177,0.0135
71178,0.003
71179,0.0135
71180,0.006
71181,0.006
71182,0.006
71183,0.048
71184,0.006
71185,0.006
71186,0.006
71187,0.003
71188,0.003
71189,0.0045
71190,0.003
71191,0.003
71192,0.006
71193,0.0045
71194,0.0825
71195,1.266
71196,0.0045
71197,1.3035
71198,0.0045
71199,0.0735
71200,0.015
71201,0.009
71202,0.009
71203,0.0075
71204,0.075
71205,0.0045
71206,0.006
71207,0.012
71208,0.0045
71209,0.0075
71210,1.35
71211,0.006
71212,0.0075
71213,0.003
71214,0.003
71215,0.0075
71216,0.006
71217,0.03
71218,0.03
71219,0.1365
71220,1.3785
71221,0.003
71222,0.006
71223,0.006
71224,0.006
71225,1.29
71226,0.0015
71227,0.009
71228,0.0315
71229,0.006
71230,0.0075
71231,0.006
71232,0.012
71233,0.0045
71234,0.003
71235,0.0885
71236,0.021
71237,0.0255
71238,0.0015
71239,0.0015
71240,0.435
71241,0.0075
71242,0.0075
71243,0.006
71244,0.0045
71245,0.006
71246,0.0045
71247,0.003
71248,1.041
71249,0.003
71250,0.003
71251,0.006
71252,0.0825
71253,0.0675
71254,0.003
71255,0.0195
71256,0.0045
71257,0.024
71258,0.0045
71259,0.0075
71260,0.03
71261,0.042
71262,1.2435
71263,0.006
71264,0.015
71265,0.0015
71266,1.1865
71267,1.0905
71268,0.006
71269,0.0105
71270,0.009
71271,0.003
71272,0.0075
71273,0.0045
71274,1.311
71275,0.1155
71276,0.009
71277,0.0075
71278,0.009
71279,1.3515
71280,0.0315
71281,0.003
71282,0.0075
71283,0.015
71284,0.003
71285,0.009
71286,0.0045
71287,0.021
71288,0.0075
71289,0.0075
71290,0.006
71291,0.0195
71292,0.006
71293,0.0105
71294,1.146
71295,0.006
71296,0.0495
71297,0.0075
71298,0.015
71299,0.0045
71300,0.006
71301,0.0075
71302,0.0045
71303,0.0015
71304,0.0045
71305,0.012
71306,0.0045
71307,0.006
71308,0.018
71309,0.003
71310,0.006
71311,0.0015
71312,0.045
71313,0.006
71314,0.012
71315,1.3425
71316,0.0105
71317,0.0165
71318,0.003
71319,0.003
71320,0.0045
71321,0.0045
71322,0.006
71323,0.846
71324,0.0015
71325,0.0315
71326,0.0075
71327,0.099
71328,0.009
71329,0.0195
71330,0.0075
71331,1.1055
71332,0.0045
71333,0.0075
71334,1.302
71335,0.018
71336,0.0045
71337,0.006
71338,1.2735
71339,0.0135
71340,0.0075
71341,1.311
71342,0.0045
71343,0.006
71344,0.009
71345,0.033
71346,0.0075
71347,0.009
71348,0.0045
71349,0.003
71350,0.027
71351,0.003
71352,0.0075
71353,0.009
71354,0.0075
71355,0.0105
71356,0.012
71357,0.0075
71358,0.033
71359,0.0015
71360,0.003
71361,0.0075
71362,0.006
71363,0.0045
71364,0.0045
71365,0.006
71366,0.0045
71367,0.135
71368,0.0075
71369,0.0075
71370,0.0255
71371,0.03
71372,0.0945
71373,0.006
71374,0.006
71375,0.0015
71376,0.0075
71377,0.006
71378,0.006
71379,1.3125
71380,0.009
71381,0.003
71382,0.0045
71383,0.0105
71384,0.0285
71385,1.296
71386,0.006
71387,0.0195
71388,0.0135
71389,0.0075
71390,0.0075
71391,0.006
71392,0.0045
71393,0.003
71394,0.015
71395,0.012
71396,1.3485
71397,0.048
71398,0.0045
71399,0.0075
71400,0.0
71401,0.0015
71402,0.039
71403,0.006
71404,1.3275
71405,0.006
71406,0.216
71407,0.0075
71408,0.003
71409,0.234
71410,0.006
71411,0.0045
71412,0.003
71413,0.009
71414,0.021
71415,0.0075
71416,1.317
71417,0.0075
71418,0.0105
71419,0.0195
71420,0.0045
71421,1.329
71422,1.089
71423,0.003
71424,0.003
71425,0.0075
71426,0.0045
71427,0.0135
71428,0.0045
71429,0.0045
71430,0.0105
71431,0.0075
71432,1.227
71433,0.003
71434,1.1685
71435,0.0105
71436,0.0075
71437,0.0045
71438,0.009
71439,0.0105
71440,0.018
71441,0.003
71442,0.0075
71443,0.0075
71444,0.006
71445,0.003
71446,0.0015
71447,0.0405
71448,0.039
71449,0.003
71450,0.0075
71451,0.0075
71452,0.003
71453,0.015
71454,0.0555
71455,0.003
71456,0.0045
71457,0.012
71458,1.3425
71459,0.009
71460,0.0045
71461,0.003
71462,0.006
71463,0.054
71464,0.003
71465,0.0525
71466,0.003
71467,0.009
71468,0.0015
71469,0.003
71470,0.0105
71471,0.006
71472,0.015
71473,0.0045
71474,0.0075
71475,0.0255
71476,0.0105
71477,0.0045
71478,0.003
71479,0.003
71480,0.0165
71481,0.018
71482,0.0075
71483,0.003
71484,0.0075
71485,0.0135
71486,0.0015
71487,0.0075
71488,0.0015
71489,0.1095
71490,0.2595
71491,1.1625
71492,0.003
71493,1.323
71494,0.0135
71495,0.009
71496,0.0045
71497,0.009
71498,0.0075
71499,0.0075
71500,0.009
71501,0.0105
71502,0.0555
71503,0.0105
71504,0.0045
71505,0.006
71506,0.012
71507,0.0015
71508,0.0045
71509,0.0345
71510,0.006
71511,0.0045
71512,0.003
71513,0.0105
71514,0.003
71515,0.0045
71516,0.003
71517,0.003
71518,0.0075
71519,0.003
71520,0.0165
71521,0.0135
71522,0.0045
71523,0.0045
71524,0.0105
71525,0.006
71526,0.0015
71527,0.0555
71528,0.015
71529,0.0015
71530,0.0045
71531,0.0135
71532,0.006
71533,0.0075
71534,0.006
71535,0.003
71536,0.0135
71537,0.0045
71538,0.0075
71539,0.0075
71540,0.003
71541,0.0375
71542,0.0465
71543,0.0135
71544,0.0075
71545,0.0135
71546,0.036
71547,0.0015
71548,0.0045
71549,0.006
71550,0.0045
71551,0.006
71552,0.009
71553,0.009
71554,0.006
71555,0.003
71556,0.015
71557,0.009
71558,0.0045
71559,0.018
71560,1.3545
71561,0.0195
71562,0.0075
71563,0.0225
71564,0.0135
71565,1.3725
71566,0.0045
71567,0.0105
71568,0.003
71569,0.0075
71570,0.0135
71571,0.015
71572,0.0255
71573,0.0135
71574,1.326
71575,0.0045
71576,0.0045
71577,0.006
71578,0.003
71579,0.0045
71580,0.0105
71581,0.015
71582,0.0045
71583,0.0045
71584,0.0345
71585,0.012
71586,0.018
71587,0.06
71588,0.012
71589,0.006
71590,0.0015
71591,0.006
71592,1.167
71593,0.0105
71594,0.003
71595,0.015
71596,0.0075
71597,0.03
71598,0.0045
71599,0.0075
71600,1.1835
71601,0.012
71602,0.003
71603,0.003
71604,0.0435
71605,0.0885
71606,0.0075
71607,0.0045
71608,0.0135
71609,0.0225
71610,0.0045
71611,1.1235
71612,0.0225
71613,0.0045
71614,0.009
71615,0.051
71616,0.0045
71617,0.0075
71618,0.006
71619,0.0465
71620,1.1535
71621,0.012
71622,0.003
71623,0.006
71624,0.003
71625,0.0045
71626,0.0075
71627,0.003
71628,0.2115
71629,0.006
71630,0.006
71631,0.024
71632,0.0045
71633,0.0045
71634,0.009
71635,0.039
71636,0.0015
71637,0.0045
71638,0.027
71639,0.0285
71640,0.003
71641,0.0045
71642,0.0075
71643,1.368
71644,1.1685
71645,0.009
71646,0.0045
71647,0.0075
71648,0.0105
71649,0.018
71650,0.018
71651,0.009
71652,0.0045
71653,0.0345
71654,0.003
71655,0.003
71656,0.012
71657,0.12
71658,1.299
71659,0.006
71660,0.0225
71661,0.042
71662,0.0135
71663,1.3245
71664,0.009
71665,0.0075
71666,0.003
71667,0.0075
71668,0.0075
71669,0.015
71670,0.003
71671,0.159
71672,1.257
71673,0.006
71674,0.0045
71675,0.0045
71676,0.0525
71677,0.0075
71678,0.009
71679,0.003
71680,0.024
71681,0.009
71682,1.17
71683,0.006
71684,0.003
71685,0.006
71686,0.006
71687,0.006
71688,0.048
71689,0.006
71690,0.027
71691,0.1785
71692,0.006
71693,0.0135
71694,0.0765
71695,0.009
71696,0.003
71697,0.0075
71698,0.015
71699,0.003
71700,0.0075
71701,0.0105
71702,0.2235
71703,0.0075
71704,0.0075
71705,0.003
71706,0.009
71707,0.012
71708,0.009
71709,0.0075
71710,0.0045
71711,0.006
71712,0.0045
71713,0.0015
71714,0.1635
71715,0.0075
71716,0.0195
71717,0.0045
71718,0.0015
71719,0.0075
71720,0.057
71721,1.047
71722,0.0075
71723,0.006
71724,0.009
71725,0.1155
71726,0.0075
71727,0.003
71728,0.003
71729,0.0045
71730,0.0105
71731,0.042
71732,0.006
71733,0.003
71734,0.039
71735,0.0075
71736,0.0045
71737,0.0045
71738,0.012
71739,0.006
71740,0.009
71741,0.0855
71742,0.0045
71743,0.0045
71744,0.0045
71745,0.006
71746,0.0045
71747,0.0255
71748,0.006
71749,0.003
71750,0.0225
71751,0.0915
71752,1.2285
71753,1.0695
71754,0.0405
71755,0.0135
71756,0.003
71757,0.0075
71758,0.0075
71759,0.024
71760,0.009
71761,0.0045
71762,0.0045
71763,0.003
71764,0.006
71765,0.078
71766,0.003
71767,0.006
71768,0.0075
71769,0.0135
71770,0.003
71771,0.0105
71772,0.003
71773,0.0285
71774,0.132
71775,0.003
71776,0.0075
71777,0.006
71778,0.021
71779,0.0195
71780,0.0045
71781,0.006
71782,0.021
71783,0.0045
71784,0.006
71785,0.012
71786,0.0045
71787,0.03
71788,0.018
71789,0.0075
71790,0.009
71791,0.006
71792,1.1055
71793,0.0045
71794,0.0075
71795,0.0075
71796,0.0075
71797,0.0075
71798,0.018
71799,0.0015
71800,0.006
71801,0.0015
71802,0.003
71803,0.0285
71804,0.006
71805,0.0285
71806,0.0135
71807,0.003
71808,0.0015
71809,0.003
71810,0.552
71811,0.009
71812,0.0105
71813,0.009
71814,0.0015
71815,0.0015
71816,0.0075
71817,0.009
71818,0.279
71819,1.332
71820,0.0075
71821,0.0375
71822,0.0765
71823,0.009
71824,1.257
71825,0.024
71826,0.0015
71827,0.4305
71828,0.033
71829,0.0045
71830,0.009
71831,0.0855
71832,0.003
71833,0.0075
71834,0.0015
71835,0.006
71836,0.0045
71837,0.0075
71838,0.0075
71839,0.0405
71840,0.0435
71841,0.0045
71842,0.006
71843,0.009
71844,1.206
71845,0.0045
71846,0.018
71847,0.009
71848,0.006
71849,0.015
71850,0.018
71851,0.0255
71852,0.0045
71853,0.0075
71854,0.0075
71855,1.2
71856,0.039
71857,0.069
71858,0.0015
71859,0.0045
71860,0.006
71861,0.003
